,zip code,number_registration,Unnamed: 0,Population,household count,"<10,000","10,000~14,999","15,000~24,999","25,000~34,999","35,000~49,999","50,000~74,999","75,000~99,999","100,000~149,999","150,000~199,999",">200,000"
0,98418.0,38,593,9822,3685.0,11.4,7.3,11.7,7.3,14.4,17.8,17.4,8.2,3.7,0.8
1,98605.0,4,128,1165,417.0,5.0,5.3,15.3,8.9,12.7,24.0,13.9,13.4,1.4,0.0
2,98541.0,27,141,9799,3586.0,10.0,7.4,15.4,10.5,11.5,15.3,12.4,11.4,3.2,2.9
3,98862.0,26,252,2360,1001.0,5.9,7.2,5.8,11.2,11.0,22.6,24.0,5.0,5.0,2.4
4,98638.0,11,352,1225,493.0,4.3,5.1,8.9,15.0,13.8,21.9,14.4,10.5,2.2,3.9
5,99022.0,15,152,8890,3320.0,6.1,4.7,8.9,10.0,13.2,24.0,13.6,12.3,4.9,2.3
6,98557.0,16,382,3262,1244.0,4.6,5.0,9.2,10.6,18.3,20.3,15.3,13.9,1.6,1.3
7,98568.0,13,496,2714,992.0,15.8,6.0,6.6,9.3,14.9,17.9,11.2,10.7,7.6,0.0
8,98305.0,3,362,328,149.0,18.8,2.7,13.4,12.8,16.1,14.8,9.4,8.7,0.0,3.4
9,99403.0,23,457,20080,8474.0,7.5,6.9,12.8,13.6,16.0,16.9,11.8,8.7,4.8,1.1
10,98444.0,84,182,34771,12772.0,8.8,7.6,13.0,13.4,19.9,18.9,8.5,7.5,1.8,0.6
11,98443.0,29,433,5821,2239.0,3.8,0.8,9.4,10.5,9.6,20.6,13.6,16.8,10.7,4.2
12,98239.0,101,281,7113,3220.0,3.7,5.4,12.0,10.1,11.3,15.7,13.6,17.7,8.0,2.4
13,98349.0,32,284,4509,1783.0,5.8,8.6,4.8,8.3,18.6,25.6,12.1,7.2,5.4,3.6
14,98590.0,3,389,449,210.0,7.1,0.0,35.7,6.2,10.0,22.4,2.4,7.6,4.8,3.8
15,98672.0,76,303,6065,2428.0,3.7,3.6,7.0,14.6,15.4,19.9,19.0,14.5,0.9,1.6
16,98675.0,27,294,7395,2015.0,5.4,4.7,7.3,6.8,13.3,22.0,11.8,15.5,9.5,3.7
17,98294.0,48,566,6659,2679.0,11.3,1.9,8.0,8.2,7.9,27.0,18.5,13.0,2.2,2.1
18,98631.0,16,240,3595,1725.0,10.3,9.2,14.6,12.5,13.2,14.8,15.5,7.6,1.3,0.9
19,98365.0,70,570,4501,2103.0,7.3,2.8,11.6,8.9,12.2,18.8,13.6,18.5,3.5,2.8
20,98380.0,50,443,4835,1794.0,3.7,1.8,8.5,5.5,17.1,10.3,17.8,21.2,8.4,5.7
21,98499.0,129,411,30630,12635.0,9.8,7.1,14.3,15.7,14.6,15.0,12.4,7.4,1.6,2.2
22,98249.0,72,264,4146,1920.0,3.5,6.2,10.1,8.4,16.7,18.5,10.0,16.4,4.6,5.6
23,98650.0,13,243,996,332.0,3.9,3.3,8.1,5.7,16.0,27.7,15.7,7.8,10.2,1.5
24,98674.0,94,37,11776,4093.0,3.1,2.6,8.3,9.3,11.8,26.0,12.6,15.8,6.3,4.3
25,98528.0,54,122,9402,3202.0,4.2,4.7,11.5,8.1,11.5,23.5,13.6,13.7,4.2,4.9
26,98371.0,168,349,20409,8312.0,4.8,4.2,7.4,8.5,13.3,23.2,12.3,17.3,5.4,3.7
27,98823.0,25,247,11336,3745.0,5.3,5.3,9.5,8.2,12.6,23.6,19.9,11.6,0.7,3.2
28,98382.0,247,116,27454,12640.0,4.9,5.6,11.2,12.7,17.3,19.1,12.4,10.9,3.4,2.4
29,98812.0,7,246,5098,1545.0,9.2,7.1,15.2,13.3,17.8,13.4,9.3,9.7,2.3,2.8
30,98936.0,10,99,5929,1828.0,4.1,5.1,10.1,7.7,18.0,23.7,15.8,14.2,0.9,0.3
31,99163.0,91,9,33822,11300.0,19.2,9.3,15.2,10.8,10.2,10.3,9.5,8.6,3.7,3.3
32,98849.0,4,168,1250,479.0,2.7,4.4,7.3,18.8,16.7,30.1,9.2,10.4,0.0,0.4
33,98601.0,15,354,3316,1042.0,1.1,3.1,13.0,13.2,9.3,20.0,20.7,14.2,5.5,0.0
34,99021.0,36,80,8765,3472.0,4.8,1.4,10.5,7.1,14.5,26.1,12.3,15.5,3.3,4.6
35,98329.0,114,286,10682,3818.0,1.5,4.4,5.8,9.1,13.2,20.0,16.1,15.8,8.3,5.7
36,98007.0,484,315,27050,10639.0,6.8,3.4,5.8,3.7,8.6,16.9,12.1,21.0,9.8,11.8
37,99027.0,26,18,6169,2390.0,6.4,5.3,10.6,10.3,13.2,16.9,13.3,16.4,5.6,1.9
38,98402.0,85,574,6023,3355.0,19.4,9.5,10.3,7.3,9.3,17.0,10.1,12.0,3.8,1.3
39,99357.0,8,392,4287,900.0,2.9,2.0,11.4,17.6,21.9,23.2,5.1,10.1,5.4,0.3
40,99114.0,23,521,11764,5011.0,9.2,5.7,11.0,11.7,17.2,17.6,12.6,10.4,2.8,1.7
41,99037.0,56,153,12928,5285.0,3.6,3.6,7.9,11.3,17.3,18.8,13.1,14.6,6.0,3.9
42,98903.0,33,479,14299,5123.0,7.4,8.0,10.8,10.5,15.9,20.1,11.8,10.5,2.2,2.7
43,99324.0,21,501,9522,3684.0,7.1,5.5,14.2,14.4,18.5,17.6,9.4,9.1,2.9,1.4
44,98203.0,272,277,34628,13257.0,5.6,3.9,9.9,10.7,9.2,20.0,15.0,15.3,6.3,4.3
45,98940.0,18,134,385,200.0,12.0,0.0,0.0,0.0,37.0,8.5,7.5,27.0,0.0,8.0
46,98596.0,21,127,7027,2522.0,7.1,3.8,15.0,11.6,20.7,15.9,13.0,10.5,2.2,0.2
47,98275.0,362,358,20994,8047.0,2.4,1.1,3.6,5.1,7.3,16.1,14.9,23.8,11.8,13.9
48,98148.0,87,578,11257,4464.0,7.6,5.6,10.1,11.0,18.0,17.7,9.7,12.6,5.2,2.5
49,98579.0,51,64,13894,4678.0,2.0,4.3,8.6,7.2,14.8,25.0,13.8,17.9,3.6,2.8
50,98262.0,19,391,951,468.0,6.0,1.3,10.3,7.5,13.0,17.3,18.8,14.7,10.0,1.1
51,98550.0,24,381,11194,4737.0,12.1,6.0,11.2,14.6,13.7,20.1,7.8,10.2,2.3,1.9
52,98841.0,7,41,8538,3439.0,7.7,8.1,15.8,9.4,12.6,17.7,10.2,13.0,4.7,0.9
53,98087.0,333,454,36649,12725.0,3.7,2.9,5.8,7.5,13.1,21.3,16.1,18.1,7.6,4.0
54,98902.0,60,46,46300,16322.0,8.9,7.4,14.6,13.4,17.2,20.4,10.0,5.7,0.9,1.5
55,99204.0,31,94,5832,3374.0,16.4,10.4,18.5,13.8,11.9,9.8,9.1,7.6,1.5,1.2
56,98632.0,172,68,48512,19585.0,9.8,6.2,15.5,11.4,14.6,17.2,10.5,9.8,3.1,1.9
57,99336.0,109,462,50529,18174.0,9.2,6.2,14.6,10.0,15.6,20.5,11.9,7.5,2.5,2.0
58,98362.0,132,347,23026,10010.0,8.4,6.4,11.4,11.2,15.2,17.9,13.6,10.2,3.5,2.0
59,98588.0,11,472,1570,756.0,5.7,3.6,19.4,6.5,5.4,26.7,6.5,9.8,8.7,7.7
60,98236.0,120,280,6004,2639.0,3.2,1.9,8.5,5.9,15.2,22.3,14.8,15.1,7.0,6.1
61,98424.0,96,119,10705,3874.0,4.3,2.7,7.9,10.7,14.8,21.6,15.7,14.7,5.2,2.4
62,98024.0,160,318,6220,2118.0,2.3,0.7,3.2,5.7,6.8,6.8,18.0,21.5,14.9,20.1
63,98188.0,171,276,24912,9631.0,7.6,4.9,12.8,12.7,15.1,21.3,10.3,9.1,4.1,2.3
64,98620.0,20,416,7095,2792.0,13.7,6.0,9.2,12.4,10.9,25.9,11.4,10.1,0.0,0.4
65,98168.0,205,326,32605,11472.0,6.2,5.0,10.3,10.9,17.0,19.6,11.2,13.1,5.1,1.4
66,98279.0,25,341,562,276.0,1.1,7.2,7.2,7.2,23.9,21.0,5.4,15.2,6.2,5.4
67,98801.0,164,163,42670,14958.0,6.0,5.2,11.6,10.0,15.4,18.7,12.5,13.2,3.3,3.9
68,98252.0,48,56,9459,3631.0,3.6,3.0,5.3,10.2,17.3,12.0,20.6,16.7,6.5,4.9
69,98663.0,112,36,13427,5810.0,8.1,4.5,9.6,9.8,15.3,21.0,14.5,11.6,3.4,2.2
70,98848.0,24,304,12234,3562.0,3.5,2.7,14.3,10.5,15.8,27.4,14.4,8.0,2.5,1.0
71,99350.0,19,150,13359,4704.0,6.3,5.9,7.7,9.3,14.2,27.5,11.2,10.3,3.0,4.7
72,98640.0,36,69,3942,1877.0,10.6,8.4,25.0,7.6,20.2,12.6,7.2,7.9,0.0,0.5
73,98338.0,166,176,26856,9117.0,3.9,2.9,5.1,4.5,13.3,23.3,19.8,19.2,4.2,3.7
74,99025.0,12,485,5067,1892.0,2.7,0.8,3.4,7.2,14.0,20.6,17.9,26.3,4.8,2.3
75,98251.0,26,55,4259,1812.0,7.6,4.2,7.7,7.3,12.0,15.8,19.3,19.7,3.2,3.1
76,99224.0,133,481,21048,8329.0,7.2,3.0,9.4,10.3,14.5,16.5,14.5,13.9,5.5,5.2
77,98576.0,34,386,4883,1855.0,4.4,3.7,10.2,10.8,15.8,21.3,12.2,18.9,1.3,1.2
78,98070.0,352,556,9844,4635.0,3.2,3.8,10.6,7.1,16.7,12.9,8.7,18.6,9.5,9.0
79,98407.0,330,407,21347,9014.0,6.2,3.8,6.7,7.3,11.9,17.9,15.6,15.8,7.2,7.7
80,99353.0,97,511,14952,5106.0,3.0,2.5,6.4,6.8,9.4,17.0,14.7,22.7,11.3,6.1
81,98282.0,197,589,15968,6481.0,3.5,2.6,6.1,7.5,12.3,19.4,19.4,16.8,5.9,6.4
82,98577.0,18,435,6752,2713.0,7.4,5.7,15.0,14.6,17.2,17.4,10.4,9.7,2.2,0.5
83,98524.0,43,378,4212,1465.0,3.0,5.7,8.6,8.6,11.5,20.4,17.1,16.2,6.9,2.0
84,98273.0,152,562,29994,10591.0,7.8,5.0,10.7,10.1,14.2,20.3,13.6,11.9,4.2,2.2
85,98580.0,87,20,11046,3974.0,7.0,2.2,10.3,9.3,9.4,25.0,11.3,15.1,7.3,3.1
86,98126.0,414,140,22632,9749.0,6.7,3.8,7.6,5.9,12.9,16.3,11.4,16.0,10.5,8.9
87,98043.0,190,438,20774,8194.0,3.4,3.9,7.1,6.6,14.6,20.6,20.3,14.3,5.4,3.8
88,99004.0,71,151,19492,6980.0,14.3,4.9,12.1,10.4,14.3,16.4,11.3,12.8,1.8,1.7
89,98292.0,170,360,21766,8299.0,5.5,3.4,6.1,8.2,11.0,16.8,16.7,19.3,7.3,5.8
90,98223.0,240,328,41489,15093.0,5.2,3.1,6.6,7.3,10.6,18.3,16.8,20.9,7.5,3.6
91,98922.0,80,192,5959,2637.0,3.3,7.3,14.5,10.9,10.6,22.1,14.2,12.2,1.2,3.7
92,98146.0,287,29,27456,9670.0,5.2,4.0,8.6,9.5,14.7,16.7,12.2,15.5,8.4,5.2
93,98843.0,22,249,1894,590.0,3.2,1.2,4.6,12.9,24.6,25.4,13.4,10.3,2.5,1.9
94,98005.0,647,215,18059,7520.0,3.2,3.2,4.1,4.3,8.4,14.7,14.3,19.8,10.6,17.5
95,98201.0,198,232,28437,12631.0,12.0,6.1,12.8,8.3,13.9,17.7,12.6,11.2,2.9,2.4
96,98366.0,226,348,32916,12186.0,6.9,3.8,9.9,9.1,13.5,21.2,12.5,16.1,4.8,2.2
97,99202.0,58,534,19730,6850.0,16.3,10.5,14.0,10.5,17.7,13.3,7.8,4.7,3.9,1.4
98,99218.0,37,394,16255,5956.0,7.8,5.1,13.3,16.0,10.4,17.4,13.8,10.0,3.5,2.5
99,98625.0,47,32,6846,2485.0,5.4,3.3,5.6,8.0,16.4,21.0,11.0,19.4,6.1,3.7
100,98648.0,34,196,2775,1230.0,11.9,8.4,9.3,11.9,9.8,24.3,8.8,10.9,3.3,1.5
101,98372.0,183,368,24849,9302.0,4.3,3.9,4.7,7.6,15.8,18.9,15.7,15.4,7.0,6.7
102,99320.0,32,499,9122,3487.0,6.5,2.3,7.3,9.8,16.4,23.0,13.5,16.8,3.0,1.5
103,98606.0,138,65,9015,3060.0,3.6,2.3,4.4,3.3,10.9,22.3,16.4,18.0,10.0,8.7
104,98626.0,83,33,24068,9098.0,10.0,6.1,10.7,10.4,15.0,20.1,11.6,12.0,3.3,0.9
105,98466.0,260,410,27103,11174.0,5.1,4.5,9.8,11.9,13.3,19.5,12.6,13.1,5.2,5.2
106,98226.0,349,170,41740,16294.0,7.1,5.1,10.9,8.1,11.5,19.4,15.8,13.5,5.5,3.2
107,98383.0,195,350,20319,8301.0,4.1,1.6,5.9,8.6,14.2,21.2,15.3,18.3,5.7,5.2
108,98045.0,348,321,14484,5426.0,4.2,2.8,4.8,3.9,12.0,11.9,13.4,23.0,12.1,11.9
109,98134.0,82,336,847,199.0,8.5,7.0,2.0,4.5,20.1,28.1,10.6,13.1,6.0,0.0
110,98248.0,153,52,23163,8502.0,9.6,4.2,7.7,11.2,9.0,18.8,15.9,16.5,5.1,1.8
111,98250.0,177,331,7683,3536.0,4.6,4.0,7.7,8.9,13.0,20.0,15.5,14.3,5.0,7.0
112,98503.0,279,120,37678,14930.0,5.9,2.8,7.9,11.8,15.1,22.6,16.0,13.7,3.2,1.1
113,98283.0,1,564,328,152.0,32.9,5.9,0.0,27.6,5.9,3.9,13.2,10.5,0.0,0.0
114,98465.0,65,451,6344,3035.0,10.1,9.4,9.1,7.0,14.6,17.0,14.3,10.5,4.2,3.8
115,98037.0,250,24,28359,10326.0,5.3,2.9,9.1,7.7,14.4,19.1,13.2,17.5,7.4,3.3
116,98101.0,338,576,12044,8213.0,11.7,6.7,10.4,6.6,7.8,10.9,11.5,13.8,8.2,12.4
117,98020.0,451,106,19996,8530.0,4.8,2.4,4.7,8.2,9.0,15.4,10.8,16.5,10.5,17.6
118,98014.0,224,105,6946,2634.0,1.6,1.9,2.8,4.3,9.4,14.2,16.4,19.2,13.6,16.6
119,98208.0,440,210,56922,20028.0,3.7,2.2,6.2,7.2,11.3,17.0,18.9,20.9,8.4,4.3
120,98327.0,94,289,9285,3193.0,4.5,0.4,2.9,5.5,11.4,21.5,18.5,19.5,10.4,5.3
121,98055.0,290,205,22906,9133.0,3.4,3.5,7.2,8.5,14.2,21.5,16.6,14.4,5.6,5.2
122,99019.0,92,517,10594,4149.0,6.6,1.1,6.4,5.6,15.1,18.2,11.5,14.7,10.3,10.4
123,98003.0,232,258,47407,18010.0,7.2,5.5,10.3,11.6,16.5,18.6,12.5,11.1,4.0,2.8
124,98367.0,282,403,28520,10366.0,4.4,2.6,5.4,7.5,11.8,19.4,18.6,19.4,8.2,2.8
125,98802.0,121,245,29791,10788.0,4.0,3.2,10.1,11.3,14.0,22.6,15.2,13.1,4.5,1.9
126,98057.0,160,130,12963,5854.0,7.8,8.6,13.2,9.8,15.1,17.6,11.9,11.4,1.8,2.8
127,98028.0,507,23,21791,8227.0,4.8,2.1,5.1,3.9,9.0,14.3,14.7,22.2,11.9,11.9
128,99338.0,153,503,14698,4843.0,2.2,0.9,4.7,4.6,9.6,13.0,16.1,25.6,15.3,8.1
129,98664.0,211,197,22018,8823.0,2.9,2.6,9.6,12.8,18.3,22.6,8.9,14.6,3.1,4.6
130,98346.0,162,178,10016,3778.0,3.9,3.6,5.8,12.5,10.1,15.1,18.3,18.8,6.3,5.5
131,98247.0,37,237,10391,3335.0,3.7,4.6,6.4,12.3,16.4,22.3,13.9,12.8,3.0,4.5
132,98531.0,94,293,25297,9649.0,9.8,6.5,12.9,12.9,16.9,18.7,9.8,8.7,1.7,2.1
133,98433.0,48,408,18335,3958.0,3.2,0.9,6.4,17.9,27.0,28.3,11.0,4.9,0.3,0.0
134,98589.0,57,388,6944,2649.0,7.4,2.8,9.7,8.2,14.1,24.3,10.2,18.5,3.1,1.6
135,99354.0,157,470,22911,9095.0,4.0,4.8,7.7,9.7,11.7,19.5,12.0,19.5,6.2,5.0
136,98937.0,9,100,3646,1484.0,2.0,1.6,9.3,6.7,21.9,30.9,13.4,9.3,3.0,1.9
137,98520.0,77,415,23904,8102.0,8.4,7.2,11.6,11.6,15.7,20.7,9.4,11.3,2.4,1.7
138,98516.0,315,377,22697,8714.0,5.1,3.8,4.1,7.2,10.9,23.1,14.8,18.0,7.5,5.5
139,98312.0,244,287,31524,12609.0,9.0,2.9,9.5,8.3,12.5,22.6,14.3,13.9,4.1,2.8
140,98033.0,911,266,37629,15883.0,3.7,1.1,4.7,3.8,7.8,11.7,11.7,22.6,13.3,19.6
141,98642.0,321,356,17519,6291.0,2.4,2.5,4.1,6.9,9.4,17.9,15.2,21.5,8.2,11.9
142,98178.0,252,579,26251,8973.0,5.5,2.5,9.2,9.5,12.1,18.7,16.2,17.6,4.6,4.1
143,99206.0,112,95,36768,14611.0,5.8,4.7,10.1,13.0,12.6,20.8,15.5,12.1,3.6,1.9
144,98121.0,408,560,14678,10066.0,9.7,6.3,6.5,5.7,7.3,9.5,14.7,17.6,8.2,14.4
145,98363.0,65,401,14210,5553.0,7.5,6.1,10.6,10.8,14.6,23.6,11.0,11.3,3.7,0.8
146,98290.0,380,565,34218,12431.0,3.6,3.0,6.1,6.2,9.9,17.3,14.4,21.5,9.4,8.6
147,98404.0,111,431,34119,10950.0,11.3,6.1,10.1,10.6,14.3,22.0,13.0,10.0,1.6,0.9
148,98204.0,167,233,41576,16574.0,7.1,5.1,11.7,10.3,19.6,21.9,10.1,10.8,2.3,1.1
149,98310.0,126,113,20499,8682.0,7.0,5.0,11.1,9.8,15.3,23.0,14.0,10.0,3.7,1.1
