,DOL Transaction Date,Zip,Longitude,Latitude
31026,1/16/18 12:00 AM,98065,-121.83053,47.530639
103977,7/26/22 12:00 AM,98115,-122.30122,47.68382
97251,4/27/22 12:00 AM,98203,-122.21792,47.943468
14266,6/11/15 12:00 AM,98148,-122.33068,47.443756
84861,11/3/21 12:00 AM,98837,-119.28455,47.133606
42761,12/18/18 12:00 AM,98116,-122.39392,47.57487
87805,12/15/21 12:00 AM,98270,-122.1588,48.061269
85687,11/15/21 12:00 AM,98466,-122.53272,47.230402
89277,1/7/22 12:00 AM,98112,-122.29752,47.629653
8694,4/9/14 12:00 AM,98229,-122.435478,48.725417
63567,10/6/20 12:00 AM,98229,-122.435478,48.725417
44570,1/22/19 12:00 AM,98332,-122.60011,47.364321
84598,10/29/21 12:00 AM,98006,-122.1526,47.562975
74198,5/13/21 12:00 AM,98074,-122.045347,47.625364
60277,6/23/20 12:00 AM,98004,-122.20308,47.618371
22628,1/10/17 12:00 AM,98034,-122.19702,47.71828
36734,7/27/18 12:00 AM,98607,-122.40547,45.60916
9804,7/9/14 12:00 AM,98109,-122.34675,47.630648
88041,12/20/21 12:00 AM,98108,-122.31514,47.546188
18827,6/17/16 12:00 AM,98103,-122.34166,47.671346
3606,2/28/13 12:00 AM,99163,-117.18648,46.732705
38796,10/4/18 12:00 AM,98275,-122.30293,47.916148
36264,7/13/18 12:00 AM,98102,-122.32253,47.63287
2393,10/24/12 12:00 AM,98443,-122.37678,47.202874
22086,12/13/16 12:00 AM,98103,-122.34166,47.671346
2608,11/14/12 12:00 AM,98045,-121.73254,47.483057
63885,10/9/20 12:00 AM,98116,-122.39392,47.57487
15860,10/21/15 12:00 AM,98053,-122.03318,47.640972
56825,1/21/20 12:00 AM,98053,-122.03318,47.640972
48403,6/4/19 12:00 AM,98036,-122.28394,47.808816
93156,3/8/22 12:00 AM,98226,-122.43597,48.759079
78884,7/28/21 12:00 AM,98029,-122.02065,47.572401
5309,7/8/13 12:00 AM,98604,-122.51789,45.791345
67867,1/12/21 12:00 AM,98038,-122.03553,47.381989
59380,4/9/20 12:00 AM,98335,-122.60562,47.301252
28246,9/19/17 12:00 AM,98136,-122.38803,47.538887
60977,7/14/20 12:00 AM,98155,-122.30373,47.753019
75386,6/9/21 12:00 AM,98027,-122.02921,47.522828
537,7/21/11 12:00 AM,98010,-122.01479,47.317802
85219,11/9/21 12:00 AM,98021,-122.22021,47.790653
76633,6/30/21 12:00 AM,98837,-119.28455,47.133606
51390,8/28/19 12:00 AM,98087,-122.26,47.87
1736,6/21/12 12:00 AM,98033,-122.1934,47.67903
63480,9/30/20 12:00 AM,98040,-122.23233,47.569271
23524,2/22/17 12:00 AM,98251,-121.66644,47.851713
77477,7/13/21 12:00 AM,98208,-122.19797,47.893451
53314,10/15/19 12:00 AM,98040,-122.23233,47.569271
100317,6/16/22 12:00 AM,98564,-122.48668,46.50494
92614,2/23/22 12:00 AM,98516,-122.78376,47.085046
81321,9/8/21 12:00 AM,98422,-122.39835,47.296007
44882,1/28/19 12:00 AM,98409,-122.48053,47.208987
49047,6/21/19 12:00 AM,98122,-122.30406,47.61157
38265,9/21/18 12:00 AM,98926,-120.52364,47.009726
77301,7/8/21 12:00 AM,98001,-122.26608,47.303722
13988,5/28/15 12:00 AM,98229,-122.435478,48.725417
38841,10/4/18 12:00 AM,98178,-122.24664,47.497971
102250,7/12/22 12:00 AM,98223,-122.05288,48.203856
71254,4/1/21 12:00 AM,99224,-117.49326,47.632573
6866,10/24/13 12:00 AM,98684,-122.52023,45.627459
100642,6/24/22 12:00 AM,98569,-124.15607,46.983877
5098,6/19/13 12:00 AM,98296,-122.11068,47.846083
10586,9/4/14 12:00 AM,98424,-122.35916,47.242186
39668,10/19/18 12:00 AM,98136,-122.38803,47.538887
60586,7/7/20 12:00 AM,98225,-122.48508,48.747578
58872,3/31/20 12:00 AM,98029,-122.02065,47.572401
57084,1/22/20 12:00 AM,98070,-122.46821,47.416198
54514,11/22/19 12:00 AM,98070,-122.46821,47.416198
23680,3/2/17 12:00 AM,98502,-122.97702,47.071484
7279,11/26/13 12:00 AM,98409,-122.48053,47.208987
38608,10/2/18 12:00 AM,98133,-122.34461,47.733852
74043,5/11/21 12:00 AM,99019,-117.08628,47.656171
16532,12/21/15 12:00 AM,98329,-122.7222,47.378121
96276,4/15/22 12:00 AM,98607,-122.40547,45.60916
80444,8/20/21 12:00 AM,98663,-122.66162,45.647667
82865,10/7/21 12:00 AM,98105,-122.30118,47.66377
65587,11/13/20 12:00 AM,98121,-122.34578,47.61487
31608,2/7/18 12:00 AM,98282,-122.48209,48.185511
85073,11/9/21 12:00 AM,98391,-122.2,47.2
17348,2/26/16 12:00 AM,98006,-122.1526,47.562975
67219,12/30/20 12:00 AM,98665,-122.66712,45.681271
67390,1/4/21 12:00 AM,98335,-122.60562,47.301252
17719,3/31/16 12:00 AM,98075,-122.033685,47.584879
13270,3/27/15 12:00 AM,98004,-122.20308,47.618371
83471,10/14/21 12:00 AM,98502,-122.97702,47.071484
41560,11/28/18 12:00 AM,98332,-122.60011,47.364321
33489,4/24/18 12:00 AM,98008,-122.1155,47.609222
55456,1/2/20 12:00 AM,99352,-119.28137,46.279657
35730,6/22/18 12:00 AM,98033,-122.1934,47.67903
89083,1/6/22 12:00 AM,98686,-122.63419,45.712623
81406,9/8/21 12:00 AM,98011,-122.20257,47.751471
6204,9/12/13 12:00 AM,98053,-122.03318,47.640972
37044,8/8/18 12:00 AM,98033,-122.1934,47.67903
40433,11/2/18 12:00 AM,98375,-122.32247,47.112477
2684,11/21/12 12:00 AM,98144,-122.30081,47.58577
59023,3/31/20 12:00 AM,98936,-120.33322,46.540842
35253,6/11/18 12:00 AM,98501,-122.8819,47.014718
75440,6/10/21 12:00 AM,98406,-122.49518,47.26302
22373,12/29/16 12:00 AM,98338,-122.291,47.028423
12687,1/27/15 12:00 AM,98258,-122.06327,48.028355
55775,1/7/20 12:00 AM,98034,-122.19702,47.71828
12578,1/21/15 12:00 AM,98391,-122.2,47.2
39053,10/9/18 12:00 AM,98144,-122.30081,47.58577
25534,5/22/17 12:00 AM,98065,-121.83053,47.530639
65149,11/2/20 12:00 AM,98004,-122.20308,47.618371
79192,8/3/21 12:00 AM,99202,-117.37899,47.656692
27908,9/1/17 12:00 AM,99320,-119.47909,46.263399
11830,11/20/14 12:00 AM,98103,-122.34166,47.671346
3275,1/24/13 12:00 AM,98105,-122.30118,47.66377
26262,6/21/17 12:00 AM,98506,-122.87249,47.069339
46078,3/21/19 12:00 AM,98031,-122.19644,47.388461
71980,4/9/21 12:00 AM,98074,-122.045347,47.625364
11243,10/16/14 12:00 AM,98012,-122.20457,47.84311
9071,5/16/14 12:00 AM,98006,-122.1526,47.562975
85779,11/17/21 12:00 AM,99362,-118.3,46.1
14426,6/24/15 12:00 AM,98501,-122.8819,47.014718
75304,6/7/21 12:00 AM,98118,-122.27496,47.543348
17404,3/4/16 12:00 AM,98104,-122.32855,47.60252
84998,11/9/21 12:00 AM,98584,-123.10538,47.224044
36141,7/10/18 12:00 AM,98230,-122.73714,48.961443
34445,5/23/18 12:00 AM,98040,-122.23233,47.569271
70773,3/19/21 12:00 AM,98105,-122.30118,47.66377
30139,12/8/17 12:00 AM,98011,-122.20257,47.751471
40806,11/9/18 12:00 AM,98117,-122.37838,47.685919
100581,6/23/22 12:00 AM,98117,-122.37838,47.685919
104510,8/2/22 12:00 AM,98584,-123.10538,47.224044
12824,2/5/15 12:00 AM,98004,-122.20308,47.618371
90942,2/1/22 12:00 AM,98115,-122.30122,47.68382
101951,7/7/22 12:00 AM,98501,-122.8819,47.014718
97266,4/28/22 12:00 AM,98684,-122.52023,45.627459
84930,11/5/21 12:00 AM,98686,-122.63419,45.712623
4521,5/14/13 12:00 AM,98651,-121.57558,45.730656
13466,4/10/15 12:00 AM,98208,-122.19797,47.893451
98583,5/23/22 12:00 AM,98117,-122.37838,47.685919
66947,12/18/20 12:00 AM,98115,-122.30122,47.68382
41497,11/21/18 12:00 AM,98040,-122.23233,47.569271
44568,1/22/19 12:00 AM,98320,-122.92868,47.705616
33572,4/26/18 12:00 AM,98020,-122.37096,47.803668
91774,2/16/22 12:00 AM,98335,-122.60562,47.301252
40783,11/9/18 12:00 AM,98024,-121.88638,47.565642
96813,4/26/22 12:00 AM,98148,-122.33068,47.443756
38094,9/18/18 12:00 AM,98038,-122.03553,47.381989
94358,3/25/22 12:00 AM,98682,-122.51319,45.67309
78956,7/28/21 12:00 AM,98648,-121.91332,45.669604
66998,12/22/20 12:00 AM,98070,-122.46821,47.416198
86947,12/6/21 12:00 AM,98028,-122.24736,47.75287
3730,3/15/13 12:00 AM,98112,-122.29752,47.629653
75471,6/10/21 12:00 AM,98074,-122.045347,47.625364
42309,12/11/18 12:00 AM,98103,-122.34166,47.671346
8061,1/31/14 12:00 AM,98292,-122.38961,48.222046
31255,1/23/18 12:00 AM,98247,-122.32095,48.900256
54682,12/5/19 12:00 AM,98312,-122.71293,47.564437
23855,3/9/17 12:00 AM,98648,-121.91332,45.669604
78711,7/27/21 12:00 AM,98074,-122.045347,47.625364
10105,7/30/14 12:00 AM,98072,-122.10205,47.758786
73614,5/3/21 12:00 AM,98034,-122.19702,47.71828
77246,7/8/21 12:00 AM,98040,-122.23233,47.569271
6767,10/15/13 12:00 AM,98501,-122.8819,47.014718
13991,5/28/15 12:00 AM,98466,-122.53272,47.230402
15014,7/29/15 12:00 AM,98105,-122.30118,47.66377
5378,7/11/13 12:00 AM,98203,-122.21792,47.943468
102224,7/11/22 12:00 AM,98148,-122.33068,47.443756
21004,10/12/16 12:00 AM,98052,-122.12138,47.677471
13641,4/27/15 12:00 AM,98374,-122.26012,47.140045
52053,9/18/19 12:00 AM,98296,-122.11068,47.846083
105975,8/22/22 12:00 AM,98053,-122.03318,47.640972
8230,2/21/14 12:00 AM,98368,-122.79736,48.100255
39404,10/16/18 12:00 AM,98052,-122.12138,47.677471
43227,12/27/18 12:00 AM,98039,-122.2328,47.626571
76077,6/23/21 12:00 AM,99004,-117.60575,47.466974
79010,7/29/21 12:00 AM,98059,-122.14169,47.493031
91243,2/8/22 12:00 AM,98177,-122.36978,47.740886
37647,8/30/18 12:00 AM,98251,-121.66644,47.851713
38087,9/18/18 12:00 AM,98501,-122.8819,47.014718
14895,7/21/15 12:00 AM,98261,-122.88271,48.481655
42480,12/13/18 12:00 AM,98075,-122.033685,47.584879
16819,1/12/16 12:00 AM,98177,-122.36978,47.740886
40173,10/31/18 12:00 AM,98144,-122.30081,47.58577
67097,12/23/20 12:00 AM,98053,-122.03318,47.640972
103146,7/14/22 12:00 AM,98110,-122.53508,47.65526
39045,10/9/18 12:00 AM,98203,-122.21792,47.943468
99258,6/1/22 12:00 AM,98367,-122.66335,47.470971
38595,10/1/18 12:00 AM,98103,-122.34166,47.671346
4350,5/3/13 12:00 AM,98042,-122.11451,47.363382
89509,1/11/22 12:00 AM,98115,-122.30122,47.68382
92945,3/2/22 12:00 AM,98052,-122.12138,47.677471
105550,8/16/22 12:00 AM,98466,-122.53272,47.230402
38822,10/4/18 12:00 AM,98075,-122.033685,47.584879
70197,3/3/21 12:00 AM,98072,-122.10205,47.758786
15893,10/22/15 12:00 AM,98116,-122.39392,47.57487
53448,10/16/19 12:00 AM,98501,-122.8819,47.014718
94129,3/21/22 12:00 AM,98665,-122.66712,45.681271
92267,2/18/22 12:00 AM,98074,-122.045347,47.625364
81305,9/8/21 12:00 AM,98087,-122.26,47.87
5109,6/20/13 12:00 AM,98019,-121.96222,47.7353
38905,10/5/18 12:00 AM,98004,-122.20308,47.618371
52530,10/2/19 12:00 AM,98115,-122.30122,47.68382
10456,8/22/14 12:00 AM,98019,-121.96222,47.7353
37524,8/29/18 12:00 AM,98902,-120.53102,46.595248
45397,2/13/19 12:00 AM,98059,-122.14169,47.493031
11226,10/16/14 12:00 AM,98052,-122.12138,47.677471
57635,2/6/20 12:00 AM,98273,-122.35196,48.414576
71913,4/9/21 12:00 AM,98109,-122.34675,47.630648
94127,3/21/22 12:00 AM,98019,-121.96222,47.7353
30078,12/7/17 12:00 AM,98029,-122.02065,47.572401
61194,7/23/20 12:00 AM,98032,-122.25932,47.388254
105912,8/19/22 12:00 AM,98109,-122.34675,47.630648
82135,9/21/21 12:00 AM,98119,-122.36694,47.63877
96926,4/26/22 12:00 AM,98148,-122.33068,47.443756
27498,8/11/17 12:00 AM,98023,-122.36178,47.309021
30391,12/20/17 12:00 AM,98102,-122.32253,47.63287
67613,1/7/21 12:00 AM,98258,-122.06327,48.028355
99922,6/9/22 12:00 AM,98686,-122.63419,45.712623
102435,7/12/22 12:00 AM,98036,-122.28394,47.808816
72195,4/12/21 12:00 AM,98121,-122.34578,47.61487
54430,11/20/19 12:00 AM,98368,-122.79736,48.100255
72552,4/16/21 12:00 AM,98012,-122.20457,47.84311
19429,7/22/16 12:00 AM,98072,-122.10205,47.758786
52018,9/17/19 12:00 AM,98038,-122.03553,47.381989
34423,5/23/18 12:00 AM,98026,-122.33651,47.821568
100603,6/23/22 12:00 AM,98012,-122.20457,47.84311
67933,1/12/21 12:00 AM,98058,-122.14584,47.448322
49169,6/25/19 12:00 AM,98020,-122.37096,47.803668
21772,11/21/16 12:00 AM,98074,-122.045347,47.625364
78170,7/22/21 12:00 AM,98122,-122.30406,47.61157
102714,7/12/22 12:00 AM,98177,-122.36978,47.740886
51825,9/11/19 12:00 AM,98272,-121.93734,47.860245
103369,7/19/22 12:00 AM,98221,-122.61976,48.495234
31047,1/16/18 12:00 AM,98033,-122.1934,47.67903
45540,2/20/19 12:00 AM,98225,-122.48508,48.747578
87857,12/15/21 12:00 AM,98221,-122.61976,48.495234
105267,8/11/22 12:00 AM,98513,-122.75285,47.00581
103216,7/14/22 12:00 AM,98004,-122.20308,47.618371
66748,12/16/20 12:00 AM,98277,-122.65093,48.303774
96915,4/26/22 12:00 AM,98022,-121.91915,47.193729
60383,6/26/20 12:00 AM,99354,-119.5,46.5
90450,1/27/22 12:00 AM,98058,-122.14584,47.448322
97712,5/6/22 12:00 AM,98058,-122.14584,47.448322
80252,8/17/21 12:00 AM,98682,-122.51319,45.67309
246,6/16/11 12:00 AM,98104,-122.32855,47.60252
1966,8/15/12 12:00 AM,98072,-122.10205,47.758786
23930,3/15/17 12:00 AM,98004,-122.20308,47.618371
48851,6/18/19 12:00 AM,98103,-122.34166,47.671346
98674,5/24/22 12:00 AM,98072,-122.10205,47.758786
32397,3/21/18 12:00 AM,98008,-122.1155,47.609222
100672,6/24/22 12:00 AM,98012,-122.20457,47.84311
103297,7/18/22 12:00 AM,98374,-122.26012,47.140045
51511,9/3/19 12:00 AM,98501,-122.8819,47.014718
61570,7/28/20 12:00 AM,98501,-122.8819,47.014718
38861,10/4/18 12:00 AM,98059,-122.14169,47.493031
41607,11/28/18 12:00 AM,98405,-122.46599,47.248953
28300,9/19/17 12:00 AM,98023,-122.36178,47.309021
86251,11/23/21 12:00 AM,99357,-119.67175,46.922079
41358,11/20/18 12:00 AM,98337,-122.63479,47.569167
10613,9/8/14 12:00 AM,98037,-122.28348,47.848237
3515,2/19/13 12:00 AM,98375,-122.32247,47.112477
95738,4/14/22 12:00 AM,98424,-122.35916,47.242186
56261,1/10/20 12:00 AM,98645,-122.7757,46.318482
47721,5/10/19 12:00 AM,98335,-122.60562,47.301252
56560,1/14/20 12:00 AM,98362,-123.40628,48.097144
64296,10/17/20 12:00 AM,98662,-122.57894,45.671806
75130,6/2/21 12:00 AM,98034,-122.19702,47.71828
48294,5/30/19 12:00 AM,98040,-122.23233,47.569271
8407,3/14/14 12:00 AM,98012,-122.20457,47.84311
33411,4/19/18 12:00 AM,98499,-122.50844,47.16632
102657,7/12/22 12:00 AM,98028,-122.24736,47.75287
21668,11/15/16 12:00 AM,98034,-122.19702,47.71828
63639,10/7/20 12:00 AM,98117,-122.37838,47.685919
5067,6/18/13 12:00 AM,98006,-122.1526,47.562975
50659,8/2/19 12:00 AM,98001,-122.26608,47.303722
21130,10/18/16 12:00 AM,98177,-122.36978,47.740886
56609,1/16/20 12:00 AM,98105,-122.30118,47.66377
63051,9/17/20 12:00 AM,98275,-122.30293,47.916148
42099,12/6/18 12:00 AM,98685,-122.68473,45.709555
29050,10/17/17 12:00 AM,98629,-122.62193,45.8768
9223,6/2/14 12:00 AM,98058,-122.14584,47.448322
75726,6/17/21 12:00 AM,98294,-121.78899,47.86527
22946,1/26/17 12:00 AM,98118,-122.27496,47.543348
90644,1/27/22 12:00 AM,98837,-119.28455,47.133606
47040,4/18/19 12:00 AM,98112,-122.29752,47.629653
66688,12/15/20 12:00 AM,98008,-122.1155,47.609222
38810,10/4/18 12:00 AM,98342,-122.53051,47.74878
101913,7/7/22 12:00 AM,98119,-122.36694,47.63877
106186,8/25/22 12:00 AM,99203,-117.40636,47.629091
103740,7/23/22 12:00 AM,98144,-122.30081,47.58577
93850,3/15/22 12:00 AM,98332,-122.60011,47.364321
105440,8/12/22 12:00 AM,98028,-122.24736,47.75287
81345,9/8/21 12:00 AM,98248,-122.61807,48.852655
40704,11/8/18 12:00 AM,98028,-122.24736,47.75287
35858,6/28/18 12:00 AM,98040,-122.23233,47.569271
34542,5/24/18 12:00 AM,98126,-122.3748,47.54687
70060,2/25/21 12:00 AM,98502,-122.97702,47.071484
3210,1/17/13 12:00 AM,98031,-122.19644,47.388461
52239,9/24/19 12:00 AM,98335,-122.60562,47.301252
69483,2/8/21 12:00 AM,98052,-122.12138,47.677471
40848,11/13/18 12:00 AM,98043,-122.30539,47.790969
57189,1/22/20 12:00 AM,98107,-122.37468,47.66747
90198,1/21/22 12:00 AM,98199,-122.39758,47.64767
82306,9/28/21 12:00 AM,98199,-122.39758,47.64767
64746,11/2/20 12:00 AM,98038,-122.03553,47.381989
14176,6/11/15 12:00 AM,98239,-122.66723,48.204162
75969,6/22/21 12:00 AM,98027,-122.02921,47.522828
54064,11/1/19 12:00 AM,98116,-122.39392,47.57487
97124,4/26/22 12:00 AM,98177,-122.36978,47.740886
75213,6/4/21 12:00 AM,98034,-122.19702,47.71828
46120,3/22/19 12:00 AM,99016,-117.15116,47.648693
35266,6/11/18 12:00 AM,98075,-122.033685,47.584879
85991,11/18/21 12:00 AM,98117,-122.37838,47.685919
86403,11/30/21 12:00 AM,98532,-123.01599,46.630721
36745,7/27/18 12:00 AM,98535,-124.16027,47.118566
10259,8/6/14 12:00 AM,98502,-122.97702,47.071484
20626,9/21/16 12:00 AM,98271,-122.21614,48.093129
81242,9/3/21 12:00 AM,98074,-122.045347,47.625364
59940,6/1/20 12:00 AM,98177,-122.36978,47.740886
18779,6/15/16 12:00 AM,98028,-122.24736,47.75287
103403,7/19/22 12:00 AM,98144,-122.30081,47.58577
97636,5/5/22 12:00 AM,98148,-122.33068,47.443756
22613,1/9/17 12:00 AM,98332,-122.60011,47.364321
61972,8/3/20 12:00 AM,98144,-122.30081,47.58577
61605,7/28/20 12:00 AM,98662,-122.57894,45.671806
80411,8/20/21 12:00 AM,98006,-122.1526,47.562975
23497,2/17/17 12:00 AM,98072,-122.10205,47.758786
5627,8/1/13 12:00 AM,98166,-122.34943,47.458821
12636,1/23/15 12:00 AM,98117,-122.37838,47.685919
11366,10/23/14 12:00 AM,98503,-122.80359,47.027082
43517,1/3/19 12:00 AM,98310,-122.62371,47.58675
31916,2/23/18 12:00 AM,98102,-122.32253,47.63287
9776,7/8/14 12:00 AM,98021,-122.22021,47.790653
59621,4/24/20 12:00 AM,98642,-122.69804,45.795825
22761,1/18/17 12:00 AM,98039,-122.2328,47.626571
69500,2/8/21 12:00 AM,98239,-122.66723,48.204162
87362,12/9/21 12:00 AM,98226,-122.43597,48.759079
54868,12/12/19 12:00 AM,98020,-122.37096,47.803668
72665,4/21/21 12:00 AM,98597,-122.56719,46.893352
39765,10/23/18 12:00 AM,98685,-122.68473,45.709555
54533,11/26/19 12:00 AM,98028,-122.24736,47.75287
9739,7/7/14 12:00 AM,98032,-122.25932,47.388254
82623,10/1/21 12:00 AM,98664,-122.57947,45.62104
59413,4/9/20 12:00 AM,98226,-122.43597,48.759079
53999,10/29/19 12:00 AM,98239,-122.66723,48.204162
95750,4/14/22 12:00 AM,98148,-122.33068,47.443756
8493,3/24/14 12:00 AM,98052,-122.12138,47.677471
70713,3/19/21 12:00 AM,98663,-122.66162,45.647667
80339,8/18/21 12:00 AM,98118,-122.27496,47.543348
38233,9/20/18 12:00 AM,98119,-122.36694,47.63877
47545,5/3/19 12:00 AM,98012,-122.20457,47.84311
35684,6/21/18 12:00 AM,98684,-122.52023,45.627459
49972,7/17/19 12:00 AM,98074,-122.045347,47.625364
43767,1/8/19 12:00 AM,98036,-122.28394,47.808816
1761,6/27/12 12:00 AM,99224,-117.49326,47.632573
32168,3/13/18 12:00 AM,98155,-122.30373,47.753019
102232,7/11/22 12:00 AM,98148,-122.33068,47.443756
44132,1/15/19 12:00 AM,98112,-122.29752,47.629653
104735,8/2/22 12:00 AM,98006,-122.1526,47.562975
19548,7/28/16 12:00 AM,98006,-122.1526,47.562975
8172,2/19/14 12:00 AM,98074,-122.045347,47.625364
45290,2/8/19 12:00 AM,98052,-122.12138,47.677471
72141,4/9/21 12:00 AM,98028,-122.24736,47.75287
2645,11/15/12 12:00 AM,98026,-122.33651,47.821568
88385,12/29/21 12:00 AM,98031,-122.19644,47.388461
23576,2/24/17 12:00 AM,98033,-122.1934,47.67903
70987,3/26/21 12:00 AM,98105,-122.30118,47.66377
53454,10/16/19 12:00 AM,98604,-122.51789,45.791345
22951,1/27/17 12:00 AM,98034,-122.19702,47.71828
88143,12/22/21 12:00 AM,98272,-121.93734,47.860245
10073,7/28/14 12:00 AM,98133,-122.34461,47.733852
44990,1/30/19 12:00 AM,98012,-122.20457,47.84311
90714,1/27/22 12:00 AM,98072,-122.10205,47.758786
15689,10/7/15 12:00 AM,98433,-122.57987,47.080682
88189,12/23/21 12:00 AM,98104,-122.32855,47.60252
19836,8/9/16 12:00 AM,98052,-122.12138,47.677471
14484,6/29/15 12:00 AM,98034,-122.19702,47.71828
46214,3/28/19 12:00 AM,98029,-122.02065,47.572401
58443,3/17/20 12:00 AM,98390,-122.1887,47.196364
36485,7/19/18 12:00 AM,98033,-122.1934,47.67903
44834,1/25/19 12:00 AM,98155,-122.30373,47.753019
36795,7/31/18 12:00 AM,98004,-122.20308,47.618371
28370,9/21/17 12:00 AM,98004,-122.20308,47.618371
34443,5/23/18 12:00 AM,98501,-122.8819,47.014718
25009,5/1/17 12:00 AM,98106,-122.35443,47.53282
44650,1/23/19 12:00 AM,98056,-122.18372,47.510739
11145,10/14/14 12:00 AM,98105,-122.30118,47.66377
43376,1/2/19 12:00 AM,98272,-121.93734,47.860245
99848,6/9/22 12:00 AM,98115,-122.30122,47.68382
104119,7/29/22 12:00 AM,98029,-122.02065,47.572401
15724,10/9/15 12:00 AM,98027,-122.02921,47.522828
41377,11/21/18 12:00 AM,98258,-122.06327,48.028355
35021,6/6/18 12:00 AM,98516,-122.78376,47.085046
100144,6/14/22 12:00 AM,98038,-122.03553,47.381989
56620,1/16/20 12:00 AM,98031,-122.19644,47.388461
22598,1/9/17 12:00 AM,98014,-121.91265,47.648232
9305,6/6/14 12:00 AM,98027,-122.02921,47.522828
53198,10/15/19 12:00 AM,98033,-122.1934,47.67903
36639,7/25/18 12:00 AM,98115,-122.30122,47.68382
70474,3/9/21 12:00 AM,98087,-122.26,47.87
7762,1/7/14 12:00 AM,98059,-122.14169,47.493031
12397,1/8/15 12:00 AM,98072,-122.10205,47.758786
3848,3/28/13 12:00 AM,98029,-122.02065,47.572401
48601,6/7/19 12:00 AM,98226,-122.43597,48.759079
31236,1/23/18 12:00 AM,98104,-122.32855,47.60252
20849,10/6/16 12:00 AM,98052,-122.12138,47.677471
103079,7/14/22 12:00 AM,98115,-122.30122,47.68382
102603,7/12/22 12:00 AM,98404,-122.4156,47.212421
77973,7/19/21 12:00 AM,98258,-122.06327,48.028355
77562,7/13/21 12:00 AM,98092,-122.16328,47.297285
29624,11/15/17 12:00 AM,98335,-122.60562,47.301252
26437,6/28/17 12:00 AM,98122,-122.30406,47.61157
89568,1/12/22 12:00 AM,98108,-122.31514,47.546188
56646,1/16/20 12:00 AM,98042,-122.11451,47.363382
39645,10/18/18 12:00 AM,98155,-122.30373,47.753019
21700,11/16/16 12:00 AM,98382,-123.09916,48.079979
78640,7/27/21 12:00 AM,98467,-122.52996,47.203946
4276,4/30/13 12:00 AM,98040,-122.23233,47.569271
74535,5/19/21 12:00 AM,98074,-122.045347,47.625364
74533,5/19/21 12:00 AM,98198,-122.315,47.397521
1332,3/8/12 12:00 AM,98275,-122.30293,47.916148
102459,7/12/22 12:00 AM,98056,-122.18372,47.510739
12616,1/22/15 12:00 AM,98033,-122.1934,47.67903
4240,4/29/13 12:00 AM,98155,-122.30373,47.753019
77195,7/8/21 12:00 AM,98198,-122.315,47.397521
84869,11/4/21 12:00 AM,98020,-122.37096,47.803668
95603,4/12/22 12:00 AM,98466,-122.53272,47.230402
3336,1/29/13 12:00 AM,98502,-122.97702,47.071484
30267,12/14/17 12:00 AM,98270,-122.1588,48.061269
95737,4/14/22 12:00 AM,98059,-122.14169,47.493031
59279,4/7/20 12:00 AM,98075,-122.033685,47.584879
63297,9/24/20 12:00 AM,98110,-122.53508,47.65526
51861,9/12/19 12:00 AM,98118,-122.27496,47.543348
93390,3/9/22 12:00 AM,98607,-122.40547,45.60916
66678,12/15/20 12:00 AM,98106,-122.35443,47.53282
40615,11/7/18 12:00 AM,98117,-122.37838,47.685919
62050,8/6/20 12:00 AM,98199,-122.39758,47.64767
5422,7/16/13 12:00 AM,98177,-122.36978,47.740886
21908,12/2/16 12:00 AM,98012,-122.20457,47.84311
93511,3/11/22 12:00 AM,98122,-122.30406,47.61157
67605,1/7/21 12:00 AM,98004,-122.20308,47.618371
103801,7/25/22 12:00 AM,98682,-122.51319,45.67309
87940,12/16/21 12:00 AM,98290,-122.03976,47.930902
43162,12/27/18 12:00 AM,98112,-122.29752,47.629653
88228,12/23/21 12:00 AM,99362,-118.3,46.1
43764,1/8/19 12:00 AM,98036,-122.28394,47.808816
65850,11/19/20 12:00 AM,98001,-122.26608,47.303722
103229,7/14/22 12:00 AM,98198,-122.315,47.397521
20188,8/26/16 12:00 AM,98007,-122.14104,47.610935
45515,2/19/19 12:00 AM,98166,-122.34943,47.458821
58812,3/25/20 12:00 AM,98006,-122.1526,47.562975
10339,8/12/14 12:00 AM,98391,-122.2,47.2
35865,6/28/18 12:00 AM,98058,-122.14584,47.448322
28436,9/22/17 12:00 AM,98270,-122.1588,48.061269