,week,zipcode,date,Longitude,Latitude,State,City,Zip,data_avail
384,518,98310,12/3/20 12:00 AM,-122.62371,47.58675,WA,Bremerton,98310,1
363,520,98004,12/15/20 12:00 AM,-122.20308,47.618371,WA,Bellevue,98004,1
354,520,98391,12/22/20 12:00 AM,-122.2,47.2,WA,Bonney Lake,98391,1
246,526,98103,1/29/21 12:00 AM,-122.34166,47.671346,WA,Seattle,98103,1
387,527,98033,2/8/21 12:00 AM,-122.1934,47.67903,WA,Kirkland,98033,1
60,529,99223,2/15/21 12:00 AM,-117.35892,47.614744,WA,Spokane,99223,1
233,529,98052,2/19/21 12:00 AM,-122.12138,47.677471,WA,Redmond,98052,1
163,530,99212,2/23/21 12:00 AM,-117.30668,47.668926,WA,Spokane,99212,1
100,529,98126,2/24/21 12:00 AM,-122.3748,47.54687,WA,Seattle,98126,1
389,530,98446,3/3/21 12:00 AM,-122.37589,47.1309,WA,Tacoma,98446,1
221,531,98168,3/4/21 12:00 AM,-122.3027,47.491327,WA,Seattle,98168,1
108,534,98125,3/26/21 12:00 AM,-122.30308,47.716648,WA,Seattle,98125,1
196,536,98077,4/12/21 12:00 AM,-122.06,47.75,WA,Woodinville,98077,1
310,537,98584,4/22/21 12:00 AM,-123.10538,47.224044,WA,Shelton,98584,1
390,537,98034,4/22/21 12:00 AM,-122.19702,47.71828,WA,Kirkland,98034,1
364,538,98004,4/24/21 12:00 AM,-122.20308,47.618371,WA,Bellevue,98004,1
394,540,98020,5/3/21 12:00 AM,-122.37096,47.803668,WA,Edmonds,98020,1
35,541,98115,5/12/21 12:00 AM,-122.30122,47.68382,WA,Seattle,98115,1
79,542,98199,5/20/21 12:00 AM,-122.39758,47.64767,WA,Seattle,98199,1
355,541,98391,5/21/21 12:00 AM,-122.2,47.2,WA,Bonney Lake,98391,1
165,543,98166,5/24/21 12:00 AM,-122.34943,47.458821,WA,Seattle,98166,1
399,543,98059,5/25/21 12:00 AM,-122.14169,47.493031,WA,Renton,98059,1
112,543,98122,5/28/21 12:00 AM,-122.30406,47.61157,WA,Seattle,98122,1
268,544,98102,6/2/21 12:00 AM,-122.32253,47.63287,WA,Seattle,98102,1
396,543,98407,6/2/21 12:00 AM,-122.50433,47.28392,WA,Tacoma,98407,1
397,543,98503,6/3/21 12:00 AM,-122.80359,47.027082,WA,Lacey,98503,1
398,543,98059,6/4/21 12:00 AM,-122.14169,47.493031,WA,Renton,98059,1
335,545,99203,6/8/21 12:00 AM,-117.40636,47.629091,WA,Spokane,99203,1
95,545,98683,6/16/21 12:00 AM,-122.51035,45.604075,WA,Vancouver,98683,1
369,548,98204,7/5/21 12:00 AM,-122.25064,47.90296,WA,Everett,98204,1
403,548,98039,7/5/21 12:00 AM,-122.2328,47.626571,WA,Medina,98039,1
180,548,98661,7/6/21 12:00 AM,-122.62846,45.63873,WA,Vancouver,98661,1
216,548,98155,7/6/21 12:00 AM,-122.30373,47.753019,WA,Seattle,98155,1
265,551,98444,7/28/21 12:00 AM,-122.4485,47.153571,WA,Tacoma,98444,1
404,552,98087,8/6/21 12:00 AM,-122.26,47.87,WA,Lynnwood,98087,1
61,554,99223,8/8/21 12:00 AM,-117.35892,47.614744,WA,Spokane,99223,1
124,554,98012,8/9/21 12:00 AM,-122.20457,47.84311,WA,Bothell,98012,1
73,555,98104,8/15/21 12:00 AM,-122.32855,47.60252,WA,Seattle,98104,1
365,554,98004,8/15/21 12:00 AM,-122.20308,47.618371,WA,Bellevue,98004,1
130,556,98031,8/23/21 12:00 AM,-122.19644,47.388461,WA,Kent,98031,1
316,558,98371,9/10/21 12:00 AM,-122.31577,47.196272,WA,Puyallup,98371,1
370,559,98204,9/21/21 12:00 AM,-122.25064,47.90296,WA,Everett,98204,1
342,561,98144,9/30/21 12:00 AM,-122.30081,47.58577,WA,Seattle,98144,1
382,561,98178,10/6/21 12:00 AM,-122.24664,47.497971,WA,Seattle,98178,1
217,562,98155,10/7/21 12:00 AM,-122.30373,47.753019,WA,Seattle,98155,1
170,562,98053,10/8/21 12:00 AM,-122.03318,47.640972,WA,Redmond,98053,1
405,563,98422,10/11/21 12:00 AM,-122.39835,47.296007,WA,Tacoma,98422,1
406,563,99337,10/13/21 12:00 AM,-119.10456,46.169982,WA,Kennewick,99337,1
356,566,98391,11/10/21 12:00 AM,-122.2,47.2,WA,Bonney Lake,98391,1
400,566,98059,11/10/21 12:00 AM,-122.14169,47.493031,WA,Renton,98059,1
407,568,98941,11/22/21 12:00 AM,-120.99286,47.224876,WA,Roslyn,98941,1
247,568,98103,11/23/21 12:00 AM,-122.34166,47.671346,WA,Seattle,98103,1
408,568,98008,11/23/21 12:00 AM,-122.1155,47.609222,WA,Bellevue,98008,1
328,571,98133,12/10/21 12:00 AM,-122.34461,47.733852,WA,Seattle,98133,1
412,571,98445,12/10/21 12:00 AM,-122.41196,47.148269,WA,Tacoma,98445,1
414,572,98107,12/19/21 12:00 AM,-122.37468,47.66747,WA,Seattle,98107,1
409,572,98008,12/19/21 12:00 AM,-122.1155,47.609222,WA,Bellevue,98008,1
278,572,98006,12/20/21 12:00 AM,-122.1526,47.562975,WA,Bellevue,98006,1
415,574,98075,12/28/21 12:00 AM,-122.033685,47.584879,WA,Sammamish,98075,1
96,573,98683,12/30/21 12:00 AM,-122.51035,45.604075,WA,Vancouver,98683,1
147,574,98512,1/2/22 12:00 AM,-122.99802,46.969793,WA,Olympia,98512,1
101,575,98126,1/11/22 12:00 AM,-122.3748,47.54687,WA,Seattle,98126,1
166,577,98166,1/17/22 12:00 AM,-122.34943,47.458821,WA,Seattle,98166,1
234,576,98052,1/18/22 12:00 AM,-122.12138,47.677471,WA,Redmond,98052,1
143,577,98108,1/24/22 12:00 AM,-122.31514,47.546188,WA,Seattle,98108,1
418,578,98629,1/24/22 12:00 AM,-122.62193,45.8768,WA,La Center,98629,1
297,579,98058,1/30/22 12:00 AM,-122.14584,47.448322,WA,Renton,98058,1
177,579,98036,1/31/22 12:00 AM,-122.28394,47.808816,WA,Lynnwood,98036,1
235,578,98052,2/2/22 12:00 AM,-122.12138,47.677471,WA,Redmond,98052,1
419,579,98270,2/6/22 12:00 AM,-122.1588,48.061269,WA,Marysville,98270,1
16,579,98105,2/10/22 12:00 AM,-122.30118,47.66377,WA,Seattle,98105,1
391,580,98034,2/15/22 12:00 AM,-122.19702,47.71828,WA,Kirkland,98034,1
420,582,98662,2/26/22 12:00 AM,-122.57894,45.671806,WA,Vancouver,98662,1
109,583,98125,2/27/22 12:00 AM,-122.30308,47.716648,WA,Seattle,98125,1
269,585,98102,3/20/22 12:00 AM,-122.32253,47.63287,WA,Seattle,98102,1
51,585,98055,3/22/22 12:00 AM,-122.21005,47.467422,WA,Renton,98055,1
307,588,98208,4/5/22 12:00 AM,-122.19797,47.893451,WA,Everett,98208,1
2,589,98501,4/14/22 12:00 AM,-122.8819,47.014718,WA,Olympia,98501,1
236,588,98052,4/14/22 12:00 AM,-122.12138,47.677471,WA,Redmond,98052,1
218,588,98155,4/15/22 12:00 AM,-122.30373,47.753019,WA,Seattle,98155,1
248,590,98103,4/29/22 12:00 AM,-122.34166,47.671346,WA,Seattle,98103,1
357,592,98391,5/2/22 12:00 AM,-122.2,47.2,WA,Bonney Lake,98391,1
27,591,98272,5/6/22 12:00 AM,-121.93734,47.860245,WA,Monroe,98272,1
17,593,98105,5/13/22 12:00 AM,-122.30118,47.66377,WA,Seattle,98105,1
421,593,98148,5/15/22 12:00 AM,-122.33068,47.443756,WA,Seattle,98148,1
423,595,99016,5/23/22 12:00 AM,-117.15116,47.648693,WA,Greenacres,99016,1
336,594,99203,5/25/22 12:00 AM,-117.40636,47.629091,WA,Spokane,99203,1
45,595,98119,5/26/22 12:00 AM,-122.36694,47.63877,WA,Seattle,98119,1
422,595,98074,5/26/22 12:00 AM,-122.045347,47.625364,WA,Sammamish,98074,1
376,596,98092,5/31/22 12:00 AM,-122.16328,47.297285,WA,Auburn,98092,1
62,598,99223,6/19/22 12:00 AM,-117.35892,47.614744,WA,Spokane,99223,1
36,599,98115,6/26/22 12:00 AM,-122.30122,47.68382,WA,Seattle,98115,1
373,600,98203,7/8/22 12:00 AM,-122.21792,47.943468,WA,Everett,98203,1
410,602,98008,7/15/22 12:00 AM,-122.1155,47.609222,WA,Bellevue,98008,1
401,604,98059,7/28/22 12:00 AM,-122.14169,47.493031,WA,Renton,98059,1
102,603,98126,7/29/22 12:00 AM,-122.3748,47.54687,WA,Seattle,98126,1
167,603,98166,7/29/22 12:00 AM,-122.34943,47.458821,WA,Seattle,98166,1
266,604,98444,8/1/22 12:00 AM,-122.4485,47.153571,WA,Tacoma,98444,1
374,604,98203,8/1/22 12:00 AM,-122.21792,47.943468,WA,Everett,98203,1
113,604,98122,8/3/22 12:00 AM,-122.30406,47.61157,WA,Seattle,98122,1
348,605,98019,8/5/22 12:00 AM,-121.96222,47.7353,WA,Duvall,98019,1
308,606,98208,8/13/22 12:00 AM,-122.19797,47.893451,WA,Everett,98208,1
192,608,98026,8/25/22 12:00 AM,-122.33651,47.821568,WA,Edmonds,98026,1
136,608,98117,8/26/22 12:00 AM,-122.37838,47.685919,WA,Seattle,98117,1
311,610,98584,9/9/22 12:00 AM,-123.10538,47.224044,WA,Shelton,98584,0
151,611,98106,9/15/22 12:00 AM,-122.35443,47.53282,WA,Seattle,98106,0
181,612,98661,9/25/22 12:00 AM,-122.62846,45.63873,WA,Vancouver,98661,0
52,612,98055,9/27/22 12:00 AM,-122.21005,47.467422,WA,Renton,98055,0
298,612,98058,9/29/22 12:00 AM,-122.14584,47.448322,WA,Renton,98058,0
249,614,98103,10/3/22 12:00 AM,-122.34166,47.671346,WA,Seattle,98103,0
337,614,99203,10/4/22 12:00 AM,-117.40636,47.629091,WA,Spokane,99203,0
18,613,98105,10/5/22 12:00 AM,-122.30118,47.66377,WA,Seattle,98105,0
202,613,98311,10/6/22 12:00 AM,-122.63493,47.629717,WA,Bremerton,98311,0
411,613,98008,10/6/22 12:00 AM,-122.1155,47.609222,WA,Bellevue,98008,0
206,613,98118,10/6/22 12:00 AM,-122.27496,47.543348,WA,Seattle,98118,0
413,614,98445,10/9/22 12:00 AM,-122.41196,47.148269,WA,Tacoma,98445,0
118,615,98597,10/17/22 12:00 AM,-122.56719,46.893352,WA,Yelm,98597,0
416,615,98075,10/18/22 12:00 AM,-122.033685,47.584879,WA,Sammamish,98075,0
250,616,98103,10/21/22 12:00 AM,-122.34166,47.671346,WA,Seattle,98103,0
182,618,98661,11/2/22 12:00 AM,-122.62846,45.63873,WA,Vancouver,98661,0
339,617,98312,11/3/22 12:00 AM,-122.71293,47.564437,WA,Bremerton,98312,0
251,617,98103,11/3/22 12:00 AM,-122.34166,47.671346,WA,Seattle,98103,0
329,618,98133,11/10/22 12:00 AM,-122.34461,47.733852,WA,Seattle,98133,0
237,620,98052,11/14/22 12:00 AM,-122.12138,47.677471,WA,Redmond,98052,0
290,621,98374,11/21/22 12:00 AM,-122.26012,47.140045,WA,Puyallup,98374,0
330,621,98133,11/22/22 12:00 AM,-122.34461,47.733852,WA,Seattle,98133,0
425,622,98241,12/2/22 12:00 AM,-121.56075,48.265483,WA,Darrington,98241,0
366,623,98004,12/10/22 12:00 AM,-122.20308,47.618371,WA,Bellevue,98004,0
287,624,98109,12/15/22 12:00 AM,-122.34675,47.630648,WA,Seattle,98109,0
80,625,98199,12/25/22 12:00 AM,-122.39758,47.64767,WA,Seattle,98199,0
261,627,98029,1/9/23 12:00 AM,-122.02065,47.572401,WA,Issaquah,98029,0
331,628,98133,1/10/23 12:00 AM,-122.34461,47.733852,WA,Seattle,98133,0
312,628,98584,1/10/23 12:00 AM,-123.10538,47.224044,WA,Shelton,98584,0
426,628,98601,1/15/23 12:00 AM,-122.43726,45.935656,WA,Amboy,98601,0
395,630,98020,1/24/23 12:00 AM,-122.37096,47.803668,WA,Edmonds,98020,0
74,629,98104,1/24/23 12:00 AM,-122.32855,47.60252,WA,Seattle,98104,0
53,631,98055,2/6/23 12:00 AM,-122.21005,47.467422,WA,Renton,98055,0
294,632,98226,2/7/23 12:00 AM,-122.43597,48.759079,WA,Bellingham,98226,0
37,633,98115,2/18/23 12:00 AM,-122.30122,47.68382,WA,Seattle,98115,0
427,635,98277,2/28/23 12:00 AM,-122.65093,48.303774,WA,Oak Harbor,98277,0
428,635,98101,3/2/23 12:00 AM,-122.33438,47.61067,WA,Seattle,98101,0
288,635,98109,3/2/23 12:00 AM,-122.34675,47.630648,WA,Seattle,98109,0
388,636,98033,3/6/23 12:00 AM,-122.1934,47.67903,WA,Kirkland,98033,0
270,635,98102,3/7/23 12:00 AM,-122.32253,47.63287,WA,Seattle,98102,0
81,636,98199,3/9/23 12:00 AM,-122.39758,47.64767,WA,Seattle,98199,0
343,637,98144,3/21/23 12:00 AM,-122.30081,47.58577,WA,Seattle,98144,0
82,637,98199,3/22/23 12:00 AM,-122.39758,47.64767,WA,Seattle,98199,0
429,638,98101,3/23/23 12:00 AM,-122.33438,47.61067,WA,Seattle,98101,0
431,637,98198,3/24/23 12:00 AM,-122.315,47.397521,WA,Seattle,98198,0
199,639,98338,3/28/23 12:00 AM,-122.291,47.028423,WA,Graham,98338,0
432,638,99037,3/31/23 12:00 AM,-117.19993,47.643346,WA,Veradale,99037,0
417,641,98075,4/16/23 12:00 AM,-122.033685,47.584879,WA,Sammamish,98075,0
433,642,99026,4/21/23 12:00 AM,-117.59325,47.801194,WA,Nine Mile Falls,99026,0
430,641,98101,4/21/23 12:00 AM,-122.33438,47.61067,WA,Seattle,98101,0
434,643,98321,4/24/23 12:00 AM,-122.05255,47.155649,WA,Buckley,98321,0
97,644,98683,5/3/23 12:00 AM,-122.51035,45.604075,WA,Vancouver,98683,0
321,644,98110,5/8/23 12:00 AM,-122.53508,47.65526,WA,Bainbridge Island,98110,0
295,645,98226,5/11/23 12:00 AM,-122.43597,48.759079,WA,Bellingham,98226,0
392,646,98034,5/16/23 12:00 AM,-122.19702,47.71828,WA,Kirkland,98034,0
152,646,98106,5/22/23 12:00 AM,-122.35443,47.53282,WA,Seattle,98106,0
156,647,98498,5/25/23 12:00 AM,-122.55877,47.16062,WA,Lakewood,98498,0
131,646,98031,5/26/23 12:00 AM,-122.19644,47.388461,WA,Kent,98031,0
19,648,98105,6/3/23 12:00 AM,-122.30118,47.66377,WA,Seattle,98105,0
137,649,98117,6/6/23 12:00 AM,-122.37838,47.685919,WA,Seattle,98117,0
385,649,98310,6/11/23 12:00 AM,-122.62371,47.58675,WA,Bremerton,98310,0
435,650,98387,6/12/23 12:00 AM,-122.40517,47.077796,WA,Spanaway,98387,0
299,649,98058,6/13/23 12:00 AM,-122.14584,47.448322,WA,Renton,98058,0
153,651,98106,6/18/23 12:00 AM,-122.35443,47.53282,WA,Seattle,98106,0
212,651,98005,6/19/23 12:00 AM,-122.16858,47.611021,WA,Bellevue,98005,0
319,652,99224,6/26/23 12:00 AM,-117.49326,47.632573,WA,Spokane,99224,0
436,652,99019,6/30/23 12:00 AM,-117.08628,47.656171,WA,Liberty Lake,99019,0
114,654,98122,7/13/23 12:00 AM,-122.30406,47.61157,WA,Seattle,98122,0
359,654,98023,7/17/23 12:00 AM,-122.36178,47.309021,WA,Federal Way,98023,0
178,654,98036,7/17/23 12:00 AM,-122.28394,47.808816,WA,Lynnwood,98036,0
174,656,98030,7/25/23 12:00 AM,-122.192276,47.369098,WA,Kent,98030,0
75,657,98104,7/31/23 12:00 AM,-122.32855,47.60252,WA,Seattle,98104,0
304,656,98271,8/1/23 12:00 AM,-122.21614,48.093129,WA,Marysville,98271,0
132,657,98031,8/5/23 12:00 AM,-122.19644,47.388461,WA,Kent,98031,0
291,659,98374,8/16/23 12:00 AM,-122.26012,47.140045,WA,Puyallup,98374,0
28,660,98272,8/21/23 12:00 AM,-121.93734,47.860245,WA,Monroe,98272,0
393,660,98034,8/22/23 12:00 AM,-122.19702,47.71828,WA,Kirkland,98034,0
437,660,98042,8/23/23 12:00 AM,-122.11451,47.363382,WA,Kent,98042,0
386,659,98310,8/23/23 12:00 AM,-122.62371,47.58675,WA,Bremerton,98310,0
402,660,98059,8/24/23 12:00 AM,-122.14169,47.493031,WA,Renton,98059,0
86,661,98011,8/28/23 12:00 AM,-122.20257,47.751471,WA,Bothell,98011,0
219,660,98155,8/29/23 12:00 AM,-122.30373,47.753019,WA,Seattle,98155,0
193,661,98026,8/30/23 12:00 AM,-122.33651,47.821568,WA,Edmonds,98026,0
350,660,98007,9/1/23 12:00 AM,-122.14104,47.610935,WA,Bellevue,98007,0
424,662,99016,9/3/23 12:00 AM,-117.15116,47.648693,WA,Greenacres,99016,0
183,663,98661,9/12/23 12:00 AM,-122.62846,45.63873,WA,Vancouver,98661,0
161,662,98040,9/12/23 12:00 AM,-122.23233,47.569271,WA,Mercer Island,98040,0
302,663,98003,9/17/23 12:00 AM,-122.31188,47.311072,WA,Federal Way,98003,0
252,663,98103,9/21/23 12:00 AM,-122.34166,47.671346,WA,Seattle,98103,0
46,664,98119,9/22/23 12:00 AM,-122.36694,47.63877,WA,Seattle,98119,0
238,664,98052,9/26/23 12:00 AM,-122.12138,47.677471,WA,Redmond,98052,0
38,665,98115,9/28/23 12:00 AM,-122.30122,47.68382,WA,Seattle,98115,0
439,666,98392,10/1/23 12:00 AM,-122.55751,47.735065,WA,Suquamish,98392,0
440,666,98642,10/1/23 12:00 AM,-122.69804,45.795825,WA,Ridgefield,98642,0
438,665,98233,10/5/23 12:00 AM,-122.33366,48.486892,WA,Burlington,98233,0
47,667,98119,10/9/23 12:00 AM,-122.36694,47.63877,WA,Seattle,98119,0
103,667,98126,10/10/23 12:00 AM,-122.3748,47.54687,WA,Seattle,98126,0
441,667,98908,10/14/23 12:00 AM,-120.61762,46.605303,WA,Yakima,98908,0
442,668,98329,10/15/23 12:00 AM,-122.7222,47.378121,WA,Gig Harbor,98329,0
83,668,98199,10/18/23 12:00 AM,-122.39758,47.64767,WA,Seattle,98199,0
443,670,98032,11/4/23 12:00 AM,-122.25932,47.388254,WA,Kent,98032,0
445,671,98365,11/6/23 12:00 AM,-122.69416,47.907561,WA,Port Ludlow,98365,0
444,671,98021,11/15/23 12:00 AM,-122.22021,47.790653,WA,Bothell,98021,0
239,672,98052,11/16/23 12:00 AM,-122.12138,47.677471,WA,Redmond,98052,0
207,673,98118,11/23/23 12:00 AM,-122.27496,47.543348,WA,Seattle,98118,0
115,672,98122,11/23/23 12:00 AM,-122.30406,47.61157,WA,Seattle,98122,0
283,673,99354,11/24/23 12:00 AM,-119.5,46.5,WA,Richland,99354,0
39,674,98115,11/26/23 12:00 AM,-122.30122,47.68382,WA,Seattle,98115,0
344,673,98144,11/30/23 12:00 AM,-122.30081,47.58577,WA,Seattle,98144,0
125,674,98012,12/5/23 12:00 AM,-122.20457,47.84311,WA,Bothell,98012,0
48,675,98119,12/12/23 12:00 AM,-122.36694,47.63877,WA,Seattle,98119,0
446,676,99326,12/16/23 12:00 AM,-118.8823,46.675704,WA,Connell,99326,0
380,678,98466,12/30/23 12:00 AM,-122.53272,47.230402,WA,Tacoma,98466,0
110,678,98125,1/3/24 12:00 AM,-122.30308,47.716648,WA,Seattle,98125,0
317,681,98371,1/15/24 12:00 AM,-122.31577,47.196272,WA,Puyallup,98371,0
371,680,98204,1/17/24 12:00 AM,-122.25064,47.90296,WA,Everett,98204,0
322,681,98110,1/20/24 12:00 AM,-122.53508,47.65526,WA,Bainbridge Island,98110,0
332,681,98133,1/23/24 12:00 AM,-122.34461,47.733852,WA,Seattle,98133,0
345,682,98144,1/29/24 12:00 AM,-122.30081,47.58577,WA,Seattle,98144,0
20,682,98105,2/1/24 12:00 AM,-122.30118,47.66377,WA,Seattle,98105,0
447,683,98028,2/4/24 12:00 AM,-122.24736,47.75287,WA,Kenmore,98028,0